[nb-items] 120
[nb-objectives] 2
[nb-pareto] 174
[nb-lorenz] 9
[runtime] 29.306032180786133
[format] f1 f2 isLorenzND
[vector] 48091 46211 True
[vector] 47067 47034 True
[vector] 48660 45675 True
[vector] 47156 46986 True
[vector] 47302 46860 True
[vector] 47231 46918 True
[vector] 47882 46374 True
[vector] 47966 46332 True
[vector] 47394 46826 True
[vector] 50826 39508 False
[vector] 46054 47697 False
[vector] 50728 40803 False
[vector] 46478 47478 False
[vector] 50850 39401 False
[vector] 48227 46036 False
[vector] 42046 49051 False
[vector] 49464 44611 False
[vector] 48534 45717 False
[vector] 47604 46582 False
[vector] 49990 43601 False
[vector] 46256 47541 False
[vector] 48961 45222 False
[vector] 46238 47578 False
[vector] 45155 48198 False
[vector] 48173 46046 False
[vector] 49626 44410 False
[vector] 40076 49252 False
[vector] 50067 43451 False
[vector] 50316 42859 False
[vector] 49507 44502 False
[vector] 46982 47059 False
[vector] 43613 48712 False
[vector] 46965 47107 False
[vector] 46215 47634 False
[vector] 50065 43533 False
[vector] 50244 42964 False
[vector] 50117 43406 False
[vector] 48408 45796 False
[vector] 43544 48737 False
[vector] 48391 45844 False
[vector] 49420 44652 False
[vector] 40826 49191 False
[vector] 48380 45908 False
[vector] 45887 47869 False
[vector] 47751 46438 False
[vector] 42730 48910 False
[vector] 49660 44350 False
[vector] 44946 48291 False
[vector] 45937 47717 False
[vector] 44335 48555 False
[vector] 47664 46537 False
[vector] 49716 44315 False
[vector] 48404 45810 False
[vector] 49851 43984 False
[vector] 48167 46102 False
[vector] 41330 49139 False
[vector] 49079 45173 False
[vector] 48895 45425 False
[vector] 50578 41734 False
[vector] 46829 47187 False
[vector] 43038 48885 False
[vector] 38596 49355 False
[vector] 43632 48702 False
[vector] 40642 49231 False
[vector] 50647 41562 False
[vector] 40852 49187 False
[vector] 46085 47638 False
[vector] 47618 46538 False
[vector] 43228 48828 False
[vector] 44456 48523 False
[vector] 46225 47633 False
[vector] 49535 44497 False
[vector] 49312 44931 False
[vector] 46836 47185 False
[vector] 41954 49077 False
[vector] 46951 47151 False
[vector] 47493 46659 False
[vector] 48122 46119 False
[vector] 40654 49210 False
[vector] 48326 45961 False
[vector] 44136 48636 False
[vector] 49402 44836 False
[vector] 46288 47535 False
[vector] 49491 44538 False
[vector] 38986 49328 False
[vector] 50657 41247 False
[vector] 47451 46710 False
[vector] 46688 47307 False
[vector] 46374 47498 False
[vector] 39704 49263 False
[vector] 48841 45442 False
[vector] 49551 44461 False
[vector] 48309 45966 False
[vector] 49787 44201 False
[vector] 42586 48984 False
[vector] 45919 47793 False
[vector] 46798 47279 False
[vector] 49922 43870 False
[vector] 47469 46688 False
[vector] 46242 47552 False
[vector] 37604 49367 False
[vector] 46522 47359 False
[vector] 46683 47313 False
[vector] 44513 48451 False
[vector] 48824 45483 False
[vector] 49865 43921 False
[vector] 48448 45769 False
[vector] 45414 48196 False
[vector] 39631 49308 False
[vector] 45464 48044 False
[vector] 44703 48394 False
[vector] 43822 48645 False
[vector] 49150 45152 False
[vector] 47503 46633 False
[vector] 49403 44716 False
[vector] 38048 49360 False
[vector] 39452 49311 False
[vector] 45901 47825 False
[vector] 38793 49346 False
[vector] 50749 40662 False
[vector] 43190 48846 False
[vector] 49866 43894 False
[vector] 47438 46780 False
[vector] 50378 42586 False
[vector] 41620 49106 False
[vector] 50709 41120 False
[vector] 48724 45522 False
[vector] 50430 42459 False
[vector] 49240 45057 False
[vector] 48007 46214 False
[vector] 49946 43642 False
[vector] 50171 43278 False
[vector] 44929 48372 False
[vector] 46368 47506 False
[vector] 50470 42049 False
[vector] 50242 43094 False
[vector] 44979 48220 False
[vector] 44218 48570 False
[vector] 40407 49243 False
[vector] 48700 45594 False
[vector] 50352 42697 False
[vector] 41721 49084 False
[vector] 39647 49265 False
[vector] 42921 48900 False
[vector] 43385 48800 False
[vector] 49932 43782 False
[vector] 41646 49102 False
[vector] 47684 46495 False
[vector] 41956 49072 False
[vector] 48944 45273 False
[vector] 41160 49162 False
[vector] 43681 48697 False
[vector] 42396 49041 False
[vector] 43603 48713 False
[vector] 46505 47400 False
[vector] 45502 48018 False
[vector] 46627 47343 False
[vector] 50468 42303 False
[vector] 47771 46410 False
[vector] 48392 45830 False
[vector] 50801 40535 False
[vector] 50522 41874 False
[vector] 40445 49240 False
[vector] 48966 45205 False
[vector] 42678 48933 False
[vector] 45950 47701 False
[vector] 48544 45716 False
[vector] 50520 42004 False
[vector] 43734 48680 False
[vector] 47531 46623 False
[vector] 42686 48912 False
[vector] 45734 47997 False
[vector] 43423 48769 False
[vector] 50285 42878 False
