[nb-items] 50
[nb-objectives] 3
[nb-pareto] 281
[nb-lorenz] 16
[runtime] 9.285577058792114
[format] f1 f2 f3 isLorenzND
[vector] 20214 19089 18363 True
[vector] 20380 19078 18276 True
[vector] 20860 18925 18335 True
[vector] 21295 18962 18094 True
[vector] 21011 18575 18391 True
[vector] 19925 19209 18513 True
[vector] 19176 18967 18591 True
[vector] 20999 19035 18205 True
[vector] 19371 19353 18426 True
[vector] 20600 19206 18263 True
[vector] 20678 18593 18560 True
[vector] 20612 18746 18449 True
[vector] 21756 18771 17974 True
[vector] 21686 18572 18141 True
[vector] 20620 18965 18344 True
[vector] 19868 18811 18597 True
[vector] 20923 19077 18022 False
[vector] 20201 18174 18637 False
[vector] 19602 17982 18812 False
[vector] 19843 17542 18762 False
[vector] 17812 19871 17108 False
[vector] 22217 18118 17431 False
[vector] 19254 19546 17727 False
[vector] 21633 16479 18304 False
[vector] 19556 19547 17593 False
[vector] 21837 18533 17600 False
[vector] 21466 18444 18154 False
[vector] 20104 19391 17948 False
[vector] 20643 17361 18562 False
[vector] 22106 17673 18036 False
[vector] 19905 18247 18748 False
[vector] 22644 16868 16725 False
[vector] 21331 18760 17983 False
[vector] 18945 19456 17916 False
[vector] 16460 19980 16136 False
[vector] 21506 17789 18215 False
[vector] 19567 17958 18847 False
[vector] 18936 19719 17276 False
[vector] 19008 19608 17603 False
[vector] 18206 19605 17733 False
[vector] 20315 18928 18376 False
[vector] 21794 18395 17758 False
[vector] 19810 17285 18798 False
[vector] 22639 17493 16598 False
[vector] 22495 17939 17387 False
[vector] 20469 19309 17599 False
[vector] 22757 16566 16621 False
[vector] 21335 18307 18155 False
[vector] 22127 17814 17502 False
[vector] 21139 18805 18180 False
[vector] 20061 17499 18789 False
[vector] 22278 17338 17590 False
[vector] 20138 19425 17669 False
[vector] 20721 18073 18495 False
[vector] 18867 18118 18903 False
[vector] 21287 18743 18199 False
[vector] 21427 17409 18281 False
[vector] 20755 19130 17995 False
[vector] 20029 18373 18623 False
[vector] 18748 19802 17623 False
[vector] 21075 18834 18107 False
[vector] 21814 17882 18100 False
[vector] 22643 16757 16992 False
[vector] 22518 18008 17044 False
[vector] 21467 16754 18342 False
[vector] 20502 18797 18357 False
[vector] 20792 16757 18592 False
[vector] 21857 18239 17764 False
[vector] 19656 19409 17747 False
[vector] 20352 17897 18616 False
[vector] 22233 17623 17570 False
[vector] 21518 17955 18211 False
[vector] 22018 18074 17502 False
[vector] 20593 16713 18663 False
[vector] 19213 19615 17244 False
[vector] 23087 16070 15555 False
[vector] 21193 18288 18375 False
[vector] 20609 19129 18057 False
[vector] 20286 18623 18452 False
[vector] 20190 19428 17185 False
[vector] 20223 19388 18005 False
[vector] 19600 19443 17933 False
[vector] 21968 18412 17393 False
[vector] 21935 18463 17742 False
[vector] 20285 18003 18582 False
[vector] 20079 18360 18628 False
[vector] 18942 19719 17132 False
[vector] 19859 19277 18205 False
[vector] 22519 17387 17482 False
[vector] 20166 16983 18746 False
[vector] 21249 17539 18386 False
[vector] 22516 18080 16853 False
[vector] 20897 18361 18486 False
[vector] 21083 17155 18419 False
[vector] 19347 17830 18860 False
[vector] 23037 16426 16531 False
[vector] 22369 17461 17531 False
[vector] 21406 18100 18225 False
[vector] 19156 18005 18826 False
[vector] 21026 18650 18297 False
[vector] 21308 18853 17547 False
[vector] 19034 19603 17415 False
[vector] 22372 16992 17725 False
[vector] 19349 19542 17777 False
[vector] 21326 19041 17382 False
[vector] 20972 17540 18518 False
[vector] 20337 17083 18704 False
[vector] 21939 16631 18048 False
[vector] 19852 19604 17273 False
[vector] 18347 19808 16925 False
[vector] 21104 17006 18451 False
[vector] 22690 17424 15983 False
[vector] 22655 16548 17064 False
[vector] 21850 18043 18077 False
[vector] 22234 17296 17880 False
[vector] 21957 18250 17461 False
[vector] 19953 18535 18585 False
[vector] 20311 19396 17764 False
[vector] 20194 16884 18721 False
[vector] 22352 18283 17082 False
[vector] 22711 17195 16571 False
[vector] 20403 18060 18576 False
[vector] 20336 19266 17760 False
[vector] 22528 17447 17135 False
[vector] 19262 19608 16919 False
[vector] 22447 17685 17509 False
[vector] 21060 18575 18246 False
[vector] 21064 18998 17820 False
[vector] 19815 19260 18421 False
[vector] 20515 19243 17927 False
[vector] 22016 17768 18039 False
[vector] 21760 18399 17905 False
[vector] 19731 19636 16694 False
[vector] 19685 19406 18269 False
[vector] 18946 19690 16852 False
[vector] 21299 18187 18285 False
[vector] 19890 18636 18520 False
[vector] 22827 16765 16454 False
[vector] 20752 17412 18531 False
[vector] 21889 17835 17923 False
[vector] 19562 19588 17327 False
[vector] 20922 16980 18582 False
[vector] 21904 17787 18097 False
[vector] 21671 18808 17638 False
[vector] 22608 17913 17041 False
[vector] 21771 18064 17991 False
[vector] 18190 19607 17745 False
[vector] 22871 16701 16569 False
[vector] 21712 18782 17434 False
[vector] 18911 19422 18195 False
[vector] 23032 17023 16343 False
[vector] 20329 19284 17685 False
[vector] 22721 17064 16649 False
[vector] 20395 17841 18681 False
[vector] 20876 18891 18220 False
[vector] 22629 18054 16507 False
[vector] 21178 18336 18201 False
[vector] 22781 16796 16572 False
[vector] 21377 16849 18345 False
[vector] 20026 18317 18664 False
[vector] 23063 16509 15658 False
[vector] 19312 17257 18867 False
[vector] 22113 17831 17572 False
[vector] 21213 17378 18409 False
[vector] 21975 17808 17803 False
[vector] 21966 18542 17030 False
[vector] 21210 18999 17758 False
[vector] 21525 18807 17700 False
[vector] 19506 18418 18806 False
[vector] 22791 17263 16482 False
[vector] 19087 18246 18890 False
[vector] 20716 17910 18559 False
[vector] 22027 17694 17950 False
[vector] 21850 18304 17902 False
[vector] 21815 16505 18173 False
[vector] 21296 18666 17993 False
[vector] 21338 16127 18357 False
[vector] 20592 17784 18684 False
[vector] 20193 17955 18742 False
[vector] 19286 18290 18819 False
[vector] 22983 17071 15571 False
[vector] 20021 18154 18728 False
[vector] 18024 19643 17677 False
[vector] 19027 19682 17468 False
[vector] 22736 16310 16690 False
[vector] 21012 16885 18579 False
[vector] 19468 19539 17834 False
[vector] 18845 19594 17762 False
[vector] 19148 17786 18931 False
[vector] 20201 18793 18428 False
[vector] 19994 18968 18449 False
[vector] 21229 17790 18347 False
[vector] 20506 18751 18439 False
[vector] 18851 19756 16940 False
