[nb-items] 80
[nb-objectives] 3
[nb-pareto] 1378
[nb-lorenz] 31
[runtime] 545.9433100223541
[format] f1 f2 f3 isLorenzND
[vector] 31252 30522 30438 True
[vector] 30924 30460 30506 True
[vector] 31923 30445 30373 True
[vector] 31131 31045 29983 True
[vector] 31081 31197 29906 True
[vector] 30984 30980 30171 True
[vector] 32891 30545 29878 True
[vector] 32274 30257 30293 True
[vector] 32601 30746 29872 True
[vector] 30773 30416 30582 True
[vector] 32640 30213 30110 True
[vector] 31145 30744 30248 True
[vector] 31231 31037 29938 True
[vector] 32741 30705 29846 True
[vector] 32841 30697 29801 True
[vector] 32186 31031 29848 True
[vector] 32224 30409 30216 True
[vector] 30618 30620 30520 True
[vector] 32175 30650 30009 True
[vector] 32780 30172 30084 True
[vector] 31816 30800 30030 True
[vector] 31439 30463 30374 True
[vector] 30873 30607 30377 True
[vector] 32066 30831 29857 True
[vector] 31399 30695 30195 True
[vector] 31387 31037 29892 True
[vector] 31544 30530 30312 True
[vector] 32578 30220 30143 True
[vector] 31441 30756 30136 True
[vector] 31766 30952 29953 True
[vector] 30754 30708 30327 True
[vector] 30369 30713 30440 False
[vector] 31479 30134 30504 False
[vector] 35252 27655 25599 False
[vector] 29126 31252 29846 False
[vector] 32410 31615 27504 False
[vector] 33007 29353 30102 False
[vector] 34189 29524 28066 False
[vector] 31445 29241 30996 False
[vector] 27513 25606 32322 False
[vector] 32156 31090 29532 False
[vector] 34752 27811 27305 False
[vector] 32164 31156 29305 False
[vector] 28067 29067 31527 False
[vector] 29779 30231 30733 False
[vector] 34582 28683 27801 False
[vector] 30409 32196 27540 False
[vector] 30269 27384 31637 False
[vector] 29696 32046 28570 False
[vector] 30361 31326 29770 False
[vector] 29794 31202 30112 False
[vector] 33938 30617 27615 False
[vector] 30075 29410 31242 False
[vector] 29351 32479 26529 False
[vector] 33944 29503 28853 False
[vector] 31154 30659 30282 False
[vector] 29816 29552 31218 False
[vector] 31229 28721 31377 False
[vector] 32506 31460 27891 False
[vector] 33377 30146 29453 False
[vector] 29659 32081 28780 False
[vector] 29178 28221 31780 False
[vector] 30016 31885 29030 False
[vector] 31998 31696 27867 False
[vector] 31568 29449 30819 False
[vector] 29023 28151 31821 False
[vector] 27468 32005 28885 False
