[nb-items] 30
[nb-objectives] 4
[nb-pareto] 195
[nb-lorenz] 2
[runtime] 1.8154559135437012
[format] f1 f2 f3 f4 isLorenzND
[vector] 11359 10831 10676 12524 True
[vector] 11044 11254 10984 12084 True
[vector] 10634 9861 10151 12961 False
[vector] 9952 10369 10115 13224 False
[vector] 10931 10762 9758 13073 False
[vector] 10470 9467 11272 10567 False
[vector] 11358 9962 10364 12599 False
[vector] 11854 10544 9412 12607 False
[vector] 11899 10563 9167 11592 False
[vector] 10220 9565 10618 12751 False
[vector] 10968 10469 10240 12582 False
[vector] 11843 10459 10234 12705 False
[vector] 9885 10647 11022 11572 False
[vector] 12418 9222 7837 11514 False
[vector] 11107 10330 11197 11734 False
[vector] 11804 10867 9706 11384 False
[vector] 10583 11061 9409 12506 False
[vector] 10937 10236 10456 12592 False
[vector] 9373 11359 9656 11662 False
[vector] 9845 10628 9239 13308 False
[vector] 9921 11447 9277 11922 False
[vector] 11955 9736 10104 11421 False
[vector] 11362 10582 10310 11639 False
[vector] 9557 10312 9308 13397 False
[vector] 10318 11331 10076 11560 False
[vector] 10950 9668 10533 13067 False
[vector] 11383 10184 10264 12807 False
[vector] 11992 9573 9950 11688 False
[vector] 11935 10463 8591 11258 False
[vector] 11272 10040 8510 13108 False
[vector] 9390 11345 9829 11761 False
[vector] 10530 10392 9590 13174 False
[vector] 12419 10091 8149 11439 False
[vector] 11777 10323 9466 12954 False
[vector] 9755 11309 10174 11635 False
[vector] 11930 10283 9518 11599 False
[vector] 12184 9711 9854 11650 False
[vector] 10100 10259 10335 12955 False
[vector] 10733 10972 10127 12657 False
[vector] 10706 9936 10236 12923 False
[vector] 10076 10430 8981 13348 False
[vector] 12508 10308 8970 11416 False
[vector] 9643 9914 9250 13608 False
[vector] 11776 10894 10172 12061 False
[vector] 10827 10481 10621 12664 False
[vector] 10662 10629 10254 12732 False
[vector] 11142 10370 9398 13090 False
[vector] 12119 10444 9398 11824 False
[vector] 11428 10744 10210 12480 False
[vector] 11842 9590 9922 12780 False
[vector] 9235 10968 10140 12494 False
[vector] 12132 10185 9474 12512 False
[vector] 10409 11301 10916 12220 False
[vector] 10864 10066 10591 12856 False
[vector] 10291 10625 11340 11207 False
[vector] 10865 10626 8990 13322 False
[vector] 9948 10652 10992 11762 False
[vector] 12066 10023 9574 11671 False
[vector] 10465 10122 9370 13206 False
[vector] 10329 10256 8797 13489 False
[vector] 12309 9498 9114 11440 False
[vector] 9809 10837 9580 13099 False
[vector] 10775 11307 9925 11649 False
[vector] 10038 9971 10057 13435 False
[vector] 12019 8903 9562 11708 False
[vector] 11201 9649 8972 13006 False
[vector] 12195 9632 9365 11458 False
[vector] 11021 10728 11255 11523 False
[vector] 11991 8704 9638 11763 False
[vector] 11648 10557 9916 12331 False
