[nb-items] 30
[nb-objectives] 5
[nb-pareto] 826
[nb-lorenz] 20
[runtime] 28.437910079956055
[format] f1 f2 f3 f4 f5 isLorenzND
[vector] 10100 10259 10335 12955 9255 True
[vector] 10219 9986 10309 12385 9516 True
[vector] 9703 10551 10589 12187 9242 True
[vector] 11154 10209 10514 12578 9020 True
[vector] 11137 10095 9768 12535 9546 True
[vector] 11748 10695 10248 12116 8309 True
[vector] 10107 9722 9716 11890 9753 True
[vector] 11129 9987 10614 12370 9022 True
[vector] 11107 10330 11197 11734 8561 True
[vector] 11772 10048 9836 12399 9089 True
[vector] 11068 10607 10572 12367 8617 True
[vector] 10407 9992 9853 12219 9714 True
[vector] 10401 9580 10870 11701 9509 True
[vector] 11130 10856 10926 12295 8240 True
[vector] 10506 10237 10653 12590 9217 True
[vector] 10433 10654 10504 12503 9074 True
[vector] 9680 10025 10860 11626 9563 True
[vector] 10409 11301 10916 12220 8294 True
[vector] 10528 10350 9965 12711 9240 True
[vector] 10827 10481 10621 12664 8697 True
[vector] 9701 7874 8426 11407 10431 False
[vector] 10286 8564 9648 11250 10165 False
[vector] 10521 8013 10096 10998 9636 False
[vector] 8865 9647 9074 12171 9859 False
[vector] 10919 9281 9860 11737 9344 False
[vector] 11403 8883 10286 10828 8791 False
[vector] 10572 11140 9898 12698 8091 False
[vector] 11776 10668 9782 11439 7752 False
[vector] 9673 8351 10001 10655 9808 False
[vector] 10531 10258 10138 12957 7887 False
[vector] 11006 9323 10553 12024 9109 False
[vector] 11362 10608 9442 12729 7782 False
[vector] 9464 10265 10722 11713 8650 False
[vector] 10815 8809 9535 11808 9707 False
[vector] 11526 9573 9479 12264 9220 False
[vector] 10315 9978 10928 11490 9106 False
[vector] 11054 10071 10182 12793 8786 False
[vector] 8651 9363 9881 12140 9739 False
[vector] 10890 9701 10747 11896 8430 False
[vector] 9060 9549 9392 12545 9568 False
[vector] 9083 9905 10076 12434 9722 False
[vector] 9539 9786 9302 11760 9735 False
[vector] 10669 10663 9351 12717 8248 False
[vector] 10316 9305 8999 12562 9637 False
[vector] 9845 10628 9239 13308 8996 False
[vector] 10937 10236 10456 12592 7849 False
[vector] 9734 10023 10721 11236 8828 False
[vector] 11277 9853 8697 12787 8647 False
[vector] 8444 8856 9345 11013 10105 False
[vector] 8961 9120 10526 11207 9680 False
[vector] 10966 10200 8524 13258 8352 False
[vector] 10667 10836 9359 12906 8257 False
[vector] 9722 8900 9080 11172 10006 False
[vector] 10336 9195 8619 13205 9045 False
[vector] 9073 9239 9564 11356 9881 False
[vector] 11533 9762 9969 11925 8497 False
[vector] 7760 9544 10085 12251 9556 False
[vector] 11372 10178 8842 12893 8314 False
[vector] 9847 9717 11311 10787 8933 False
[vector] 9421 10819 9696 13086 9015 False
[vector] 7670 9428 9613 10989 9801 False
[vector] 11173 9450 9048 13061 8736 False
[vector] 10336 7827 8494 11271 9974 False
[vector] 8292 9357 9404 11624 10046 False
[vector] 11036 8660 9881 11066 9391 False
[vector] 11363 8319 8917 11309 9377 False
[vector] 10156 10910 10096 12735 8792 False
[vector] 9950 10994 9637 12749 8086 False
[vector] 11177 10276 8524 12519 8605 False
[vector] 12638 8747 7951 10803 6158 False
[vector] 8559 7416 8892 10254 10532 False
[vector] 10367 9930 8356 12769 9429 False
[vector] 9806 9463 10896 12145 9184 False
[vector] 10978 11118 10216 12333 8053 False
[vector] 9798 10247 10050 12395 9408 False
[vector] 9582 10532 10869 11427 8578 False
[vector] 9870 10243 11040 11348 8612 False
[vector] 10382 10270 8967 13198 8296 False
[vector] 11293 10695 9908 12773 8037 False
[vector] 11862 10270 9724 11650 8155 False
[vector] 8187 10373 10177 11740 9460 False
[vector] 9663 8814 9687 11470 10360 False
[vector] 8279 9173 9416 10813 10107 False
[vector] 9217 9614 8993 13160 9539 False
[vector] 12418 9222 7837 11514 7613 False
[vector] 12473 9437 9094 11457 7643 False
[vector] 11221 8787 9853 11443 9669 False
[vector] 11780 9343 10004 11535 8175 False
[vector] 11181 8725 8356 11993 9384 False
[vector] 9249 10137 10700 11879 8759 False
[vector] 10369 11329 9607 12014 6967 False
[vector] 10224 10552 9604 13324 8574 False
[vector] 11072 9274 10079 11954 9056 False
[vector] 12508 10308 8970 11416 7311 False
[vector] 9727 10406 10049 12539 9151 False
[vector] 11394 10105 9775 12615 8355 False
[vector] 10482 10572 8966 13077 8389 False
[vector] 9501 9313 9956 11418 9791 False
[vector] 8562 8759 10880 10269 9395 False
[vector] 10915 9923 10647 12104 8428 False
[vector] 10630 10530 9922 12959 8536 False
[vector] 9193 8919 8412 12033 10204 False
[vector] 9310 8691 9256 12267 9876 False
[vector] 11370 10752 10187 12332 7575 False
[vector] 10486 8985 9417 12728 9348 False
[vector] 9356 8441 10026 10725 9731 False
[vector] 11579 9428 9366 12696 8698 False
[vector] 9257 8836 9369 11835 10398 False
[vector] 12280 8817 8624 11754 7252 False
[vector] 10192 9059 9574 12028 9902 False
[vector] 11372 10526 10322 11946 8182 False
[vector] 10554 9888 10204 12873 8678 False
[vector] 8265 9011 9649 11511 10060 False
[vector] 10643 9250 10266 11352 9451 False
[vector] 10186 8426 9316 11465 9931 False
[vector] 10662 10629 10254 12732 8655 False
[vector] 10968 10469 10240 12582 8383 False
[vector] 9054 9069 9884 11646 10054 False
[vector] 10233 9719 8592 13129 9323 False
[vector] 12094 10222 9498 11616 6825 False
[vector] 10418 9190 9434 12116 9663 False
[vector] 9340 10301 9944 12377 9345 False
[vector] 7964 10085 10066 11762 9701 False
[vector] 10309 11163 10584 12435 8060 False
[vector] 10640 10538 9654 12916 8755 False
[vector] 10130 8771 9296 12508 9697 False
[vector] 8490 9647 10000 12567 9388 False
[vector] 10542 9797 10317 11731 9184 False
[vector] 10222 8868 9966 11493 9737 False
[vector] 10406 10099 10321 12805 8983 False
[vector] 8466 8288 8697 11025 10722 False
[vector] 11450 10176 9562 12492 8183 False
[vector] 8671 9617 9295 12572 9771 False
[vector] 11165 10294 9692 12480 8633 False
[vector] 9271 9625 9392 11806 9821 False
[vector] 10988 10127 9457 12980 8393 False
[vector] 10583 11061 9409 12506 7845 False
[vector] 11167 10923 9979 11615 7446 False
[vector] 10477 9961 10486 12694 8666 False
[vector] 9310 9171 9490 11861 9912 False
[vector] 10748 10231 10196 12943 9058 False
[vector] 9986 9865 10846 11476 9291 False
[vector] 11897 8756 8692 12251 8127 False
[vector] 9498 9453 10354 12847 9035 False
[vector] 11426 9435 9147 12479 8986 False
[vector] 8059 9781 9527 11970 9867 False
[vector] 8979 8635 9219 12002 10084 False
[vector] 9543 10978 10682 11792 8678 False
[vector] 9701 9744 9398 12255 9791 False
[vector] 9004 10012 9464 12120 9590 False
[vector] 8845 9421 9370 12711 9677 False
[vector] 10943 10247 10340 12374 8385 False
[vector] 10678 10757 8870 12714 8011 False
[vector] 10733 10972 10127 12657 8041 False
[vector] 11842 9590 9922 12780 8566 False
[vector] 9443 10840 10350 12007 8444 False
[vector] 8767 9771 10130 12165 9676 False
[vector] 9849 10818 10668 11642 8406 False
[vector] 9266 8200 10144 10301 9867 False
[vector] 11685 9605 9150 12036 9216 False
[vector] 9398 9629 9245 12110 10005 False
[vector] 11296 9741 9578 12444 8728 False
[vector] 10228 10645 10832 11726 8390 False
[vector] 9165 9508 9782 11201 9780 False
[vector] 9812 9694 10402 11415 9352 False
[vector] 8584 7638 8792 10462 10530 False
[vector] 8601 10475 9899 12346 9319 False
[vector] 10555 9611 9726 13240 8667 False
[vector] 9259 8583 9472 11604 10190 False
[vector] 11342 10717 9930 12481 8347 False
[vector] 11336 10305 10947 11963 8142 False
[vector] 10125 10260 8960 13118 9487 False
[vector] 10195 10633 10721 12102 8736 False
[vector] 9042 8605 10681 10630 9678 False
[vector] 10785 9044 10964 11007 8722 False
[vector] 8576 9921 9834 12364 9605 False
[vector] 9606 9773 10662 11790 9159 False
[vector] 10562 9832 8674 13143 9138 False
[vector] 10093 9570 10328 12403 9360 False
[vector] 12309 9498 9114 11440 6975 False
[vector] 11869 10134 10162 11210 7405 False
[vector] 10759 10152 9707 12751 8812 False
[vector] 12066 10023 9574 11671 7738 False
[vector] 9302 10683 10293 12357 8714 False
[vector] 11930 10283 9518 11599 6157 False
[vector] 9613 9757 9267 11944 9896 False
[vector] 10605 9333 10720 11722 9092 False
