[nb-items] 20
[nb-objectives] 6
[nb-pareto] 472
[nb-lorenz] 9
[runtime] 2.1851799488067627
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 6355 6142 7024 7931 5453 6315 True
[vector] 5902 5783 7517 7383 5903 6544 True
[vector] 6441 5744 6966 8142 5856 6046 True
[vector] 5720 6189 6956 8067 5910 6681 True
[vector] 7263 5952 7086 7740 5117 6169 True
[vector] 6026 6029 6942 7917 5638 6921 True
[vector] 7329 6088 7854 7491 4901 6003 True
[vector] 7243 6486 7912 7280 4498 6272 True
[vector] 6349 5840 6950 7263 5306 7232 True
[vector] 4818 5022 5629 8340 5648 5001 False
[vector] 5665 6262 6422 7205 4675 5659 False
[vector] 6868 5895 6279 7913 4909 6391 False
[vector] 6877 5989 5798 7910 4672 5856 False
[vector] 6095 5800 7461 6576 4779 6177 False
[vector] 6448 5519 6764 7270 4966 6640 False
[vector] 7485 5292 6063 6280 3808 6365 False
[vector] 5011 5097 6513 6788 5993 6490 False
[vector] 6354 5301 6280 7779 5983 6807 False
[vector] 5827 5771 8007 5821 4680 5615 False
[vector] 6141 4838 6034 7268 5768 6892 False
[vector] 5843 4474 5088 7267 5140 7414 False
[vector] 5809 5275 6169 6729 5453 7296 False
[vector] 6863 5234 6788 7495 5184 5765 False
[vector] 4998 4743 5619 7562 6349 5745 False
[vector] 5866 5421 6583 7838 4901 6952 False
[vector] 5248 4470 5248 6742 6167 6276 False
[vector] 5654 4527 6523 7334 5950 6436 False
[vector] 4147 4160 6044 6239 6240 6469 False
[vector] 7239 5002 6721 7589 5203 6031 False
[vector] 4338 5006 6379 6328 6024 6231 False
[vector] 5892 5536 6225 6191 4707 7266 False
[vector] 5741 4970 7209 7697 5823 5675 False
[vector] 6594 5197 5541 7816 5318 6663 False
[vector] 4829 5503 5952 7472 6000 6627 False
[vector] 5913 4946 5752 8134 5073 6582 False
[vector] 6165 4165 6490 6461 6032 5509 False
[vector] 5447 5629 6856 6694 5456 7144 False
[vector] 4632 4746 6389 6470 6437 5910 False
[vector] 6761 5986 6419 7090 4417 7255 False
[vector] 5517 6378 6665 7383 4786 6428 False
[vector] 6273 6355 7100 7111 4563 7235 False
[vector] 7006 5225 6370 7139 5466 6512 False
[vector] 6589 4750 6728 7527 5454 6616 False
[vector] 7521 5236 7486 6759 4559 5202 False
[vector] 6649 5552 5930 7521 3931 6974 False
[vector] 5306 5412 7409 6664 5781 6696 False
[vector] 6782 5297 5780 7090 4188 7227 False
[vector] 5899 4577 6502 7183 6199 4727 False
[vector] 5873 5642 5531 7741 5372 7298 False
[vector] 6048 6050 7596 6838 5067 6571 False
[vector] 5326 5255 7185 7472 5605 6550 False
[vector] 7572 5735 6749 6643 3681 5604 False
[vector] 5293 5471 6017 6468 5398 7413 False
[vector] 5568 4489 5811 6759 6219 6205 False
[vector] 6251 6287 7569 6684 4376 6538 False
[vector] 6401 5640 7447 6426 4507 6417 False
[vector] 5708 5822 6220 7108 5186 7589 False
[vector] 6917 5008 5549 7162 4986 6974 False
[vector] 5529 4426 5837 6421 5932 7023 False
[vector] 6614 6012 6484 7647 4641 6296 False
[vector] 5278 4690 5914 7037 6205 5986 False
[vector] 6027 4967 7419 6739 5727 6061 False
[vector] 6587 4976 6593 7913 4847 6317 False
[vector] 5709 5163 7047 7680 5512 6483 False
[vector] 6669 5547 7156 6573 4993 6070 False
[vector] 7061 4961 7516 6861 5376 5115 False
[vector] 5535 4728 5911 7089 6079 6106 False
[vector] 6764 5555 6974 7488 5524 6357 False
[vector] 4702 4051 5512 6738 6561 4433 False
[vector] 6261 5478 7390 7665 5109 6730 False
[vector] 6942 4939 4856 6202 3420 7125 False
[vector] 5293 5058 6515 7438 6137 5951 False
[vector] 4863 4975 5890 6812 5987 6861 False
[vector] 5206 4615 5829 7075 6264 6712 False
[vector] 5357 5501 7868 6157 5135 5746 False
[vector] 6248 5124 6496 8439 5465 5985 False
[vector] 5192 5818 7939 5957 5137 5981 False
[vector] 5804 4881 7041 6975 6033 5531 False
[vector] 5968 5338 4992 7949 5538 6494 False
[vector] 5894 4953 4892 7741 5143 7270 False
[vector] 4217 5031 6365 6245 6219 6785 False
[vector] 6228 5281 6720 7631 5641 6131 False
[vector] 5011 5642 6099 8043 6039 5062 False
[vector] 5627 5681 5608 7413 5460 7433 False
[vector] 5253 5312 5495 7694 5981 5217 False
[vector] 6195 5534 6665 7852 4716 6346 False
[vector] 6977 4824 5268 7383 4276 6860 False
[vector] 7170 5444 5738 7086 4667 6921 False
[vector] 6283 5896 6225 7450 4913 6848 False
[vector] 6455 3964 6387 6183 6046 5728 False
[vector] 6993 5041 6798 7261 5291 6166 False
[vector] 7136 5468 7384 7788 4510 5942 False
[vector] 7109 5709 7145 7630 5053 5772 False
[vector] 6537 5736 7585 7247 5446 6178 False
[vector] 5955 5638 7404 7815 5381 6490 False
[vector] 6678 5953 7032 7277 5121 6626 False
[vector] 7176 5701 6443 7315 4635 6380 False
[vector] 5959 5244 5473 7952 5775 7029 False
[vector] 6340 5434 7074 6559 5178 6676 False
[vector] 7416 5405 5661 7414 4579 6786 False
[vector] 6341 6275 7818 6711 4648 6184 False
[vector] 4797 4429 6318 6670 6435 5675 False
[vector] 6675 5338 6153 7511 5044 6819 False
[vector] 6001 5308 5312 7732 5270 7084 False
[vector] 5923 4564 7770 7013 5816 5538 False
[vector] 6695 5850 5651 7339 4633 7421 False
[vector] 7249 5965 6552 7511 4184 5930 False
[vector] 6918 4863 6810 7541 5269 6010 False
[vector] 6241 5281 7466 6309 4998 6283 False
[vector] 5047 5097 6592 7110 6225 6086 False
[vector] 4959 4750 4146 6958 4758 7636 False
[vector] 4632 5382 6568 6885 6007 6961 False
[vector] 5566 5681 5554 7879 4798 7384 False
[vector] 6286 5675 5427 6338 4106 7519 False
[vector] 5607 5106 5766 8284 5345 6342 False
[vector] 6579 5531 7339 6773 4973 5498 False
[vector] 4491 4589 6332 6820 6707 5435 False
[vector] 5737 4096 5572 7010 6170 5639 False
[vector] 6731 5794 7074 7818 5384 6258 False
[vector] 6930 5740 6520 6987 4723 6515 False
[vector] 4512 4756 5057 6379 5881 7437 False
[vector] 4911 5545 5407 6550 4359 7617 False
[vector] 6187 6117 6979 6485 4590 6453 False
[vector] 6055 5781 5678 8312 5411 5733 False
[vector] 7183 5829 5784 7760 4400 6096 False
[vector] 6196 5187 6809 7454 4477 6971 False
[vector] 5382 5338 6275 6483 4824 7385 False
[vector] 7175 5580 6452 7303 3789 6706 False
[vector] 5975 5094 5504 7436 4869 7426 False
[vector] 4666 4278 5717 6190 6369 6117 False
[vector] 5809 5820 5755 7984 5499 5868 False
[vector] 6195 5269 6609 8007 5987 6039 False
[vector] 5213 4702 5103 8059 4898 7189 False
[vector] 6685 5287 6933 7887 5090 5320 False
[vector] 6463 5765 7620 7063 5285 5696 False
[vector] 6869 5740 6466 7453 4061 6466 False
[vector] 6865 5008 6923 7109 5791 6064 False
[vector] 5649 5066 7193 6818 5273 6861 False
[vector] 5186 4786 5898 6158 5655 7172 False
[vector] 5913 5373 7949 6032 5083 5346 False
[vector] 6975 5387 7142 6423 4721 6310 False
[vector] 7593 5046 6110 6643 3452 5576 False
[vector] 6681 5640 6227 8179 5191 5902 False
[vector] 5656 5903 5442 7130 3864 7294 False
[vector] 6503 5148 6786 7316 5051 6885 False
[vector] 4506 4385 5025 6891 5304 7633 False
[vector] 6012 6162 7736 6697 4833 6790 False
[vector] 6970 5919 6907 7805 4927 6006 False
[vector] 5443 4824 5895 6210 5529 7292 False
[vector] 6942 5256 6254 7736 5238 5256 False
[vector] 6257 5218 6015 8436 5228 5450 False
[vector] 6780 5596 7063 7616 5238 6378 False
[vector] 5261 5230 5334 6894 5536 7429 False
[vector] 5091 5370 4562 7127 4487 7648 False
[vector] 5019 5560 5938 7243 5594 7274 False
[vector] 6528 6410 6542 7436 4238 6565 False
[vector] 5640 6066 5654 8087 5193 6608 False
[vector] 6096 4854 7821 5605 4956 5640 False
[vector] 5973 6085 6963 6782 4602 6689 False
[vector] 6470 4951 6116 7282 5583 6286 False
[vector] 5289 4767 5988 6761 6167 6241 False
[vector] 5498 5658 7925 5807 4865 6221 False
[vector] 6217 4764 4900 7087 4811 7581 False
[vector] 6254 5832 7132 6348 4775 6945 False
[vector] 6322 5608 7563 7413 5555 5221 False
[vector] 5322 4528 4483 6198 3988 7747 False
[vector] 5800 5726 6236 7987 5736 6403 False
[vector] 7088 6133 6323 7552 4234 6900 False
