[nb-items] 170
[nb-objectives] 2
[nb-pareto] 39
[nb-lorenz] 39
[runtime] 22.283541679382324
[format] f1 f2 isLorenzND
[vector] 64915 64438 True
[vector] 65827 63961 True
[vector] 66786 63437 True
[vector] 68255 62392 True
[vector] 68094 62484 True
[vector] 66013 63883 True
[vector] 70291 60589 True
[vector] 68665 62007 True
[vector] 64685 64561 True
[vector] 67063 63251 True
[vector] 68740 61997 True
[vector] 67954 62586 True
[vector] 70237 60642 True
[vector] 66743 63450 True
[vector] 66466 63636 True
[vector] 69778 61089 True
[vector] 66213 63791 True
[vector] 65693 64082 True
[vector] 68002 62547 True
[vector] 65095 64337 True
[vector] 65571 64089 True
[vector] 67861 62669 True
[vector] 70806 60106 True
[vector] 67290 63146 True
[vector] 69626 61232 True
[vector] 66939 63309 True
[vector] 65205 64270 True
[vector] 69244 61578 True
[vector] 64775 64536 True
[vector] 68893 61869 True
[vector] 65224 64252 True
[vector] 65295 64245 True
[vector] 65518 64131 True
[vector] 66676 63465 True
[vector] 68849 61905 True
[vector] 69059 61730 True
[vector] 65503 64139 True
[vector] 65005 64362 True
[vector] 67443 63018 True
