[nb-items] 80
[nb-objectives] 3
[nb-pareto] 31
[nb-lorenz] 31
[runtime] 3.182328224182129
[format] f1 f2 f3 isLorenzND
[vector] 31252 30522 30438 True
[vector] 30924 30460 30506 True
[vector] 31923 30445 30373 True
[vector] 31131 31045 29983 True
[vector] 31081 31197 29906 True
[vector] 30984 30980 30171 True
[vector] 32891 30545 29878 True
[vector] 32274 30257 30293 True
[vector] 32601 30746 29872 True
[vector] 30773 30416 30582 True
[vector] 32640 30213 30110 True
[vector] 31145 30744 30248 True
[vector] 32186 31031 29848 True
[vector] 32224 30409 30216 True
[vector] 32741 30705 29846 True
[vector] 32841 30697 29801 True
[vector] 31231 31037 29938 True
[vector] 32175 30650 30009 True
[vector] 30618 30620 30520 True
[vector] 32780 30172 30084 True
[vector] 31816 30800 30030 True
[vector] 31439 30463 30374 True
[vector] 30873 30607 30377 True
[vector] 32066 30831 29857 True
[vector] 31544 30530 30312 True
[vector] 31399 30695 30195 True
[vector] 31387 31037 29892 True
[vector] 32578 30220 30143 True
[vector] 31441 30756 30136 True
[vector] 31766 30952 29953 True
[vector] 30754 30708 30327 True
