[nb-items] 40
[nb-objectives] 4
[nb-pareto] 12
[nb-lorenz] 12
[runtime] 0.7896270751953125
[format] f1 f2 f3 f4 isLorenzND
[vector] 15405 15013 14097 15436 True
[vector] 15161 14592 14253 15369 True
[vector] 14665 14359 14477 14435 True
[vector] 15847 15582 13198 16066 True
[vector] 14909 14780 14321 14502 True
[vector] 15118 14257 14498 14687 True
[vector] 15340 15428 13911 15324 True
[vector] 15778 14880 13838 15738 True
[vector] 15549 15594 13635 15432 True
[vector] 15111 14744 14176 14916 True
[vector] 15350 14825 14167 14994 True
[vector] 14745 14862 14179 15039 True
