[nb-items] 40
[nb-objectives] 5
[nb-pareto] 11
[nb-lorenz] 11
[runtime] 1.0686161518096924
[format] f1 f2 f3 f4 f5 isLorenzND
[vector] 14794 14413 13617 15855 13393 True
[vector] 14729 14828 13431 15743 13504 True
[vector] 14799 13818 13661 15752 13744 True
[vector] 15422 13568 13622 15532 13549 True
[vector] 14747 14493 13914 15238 13249 True
[vector] 14752 15354 13160 16304 13183 True
[vector] 15243 14726 13690 16172 13137 True
[vector] 14402 14110 13915 14984 13731 True
[vector] 14352 14262 13838 14531 13861 True
[vector] 14112 14540 13846 15374 13706 True
[vector] 15340 15428 13911 15324 12267 True
