[nb-items] 30
[nb-objectives] 6
[nb-pareto] 13
[nb-lorenz] 13
[runtime] 0.591005802154541
[format] f1 f2 f3 f4 f5 f6 isLorenzND
[vector] 10506 10237 10653 12590 9217 9299 True
[vector] 9804 10271 10285 12160 9298 10276 True
[vector] 11067 9766 9828 12215 9147 10342 True
[vector] 10761 9926 9842 12365 9419 10102 True
[vector] 10739 10494 10490 12353 8802 10456 True
[vector] 10031 9823 9927 12049 9587 9719 True
[vector] 9986 9865 10846 11476 9291 10139 True
[vector] 10433 10654 10504 12503 9074 10216 True
[vector] 9703 10551 10589 12187 9242 9833 True
[vector] 9521 10957 10028 12871 9249 9970 True
[vector] 11137 10095 9768 12535 9546 9342 True
[vector] 9680 10025 10860 11626 9563 9899 True
[vector] 11051 10493 9826 12324 9143 9611 True
